Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
PS4,2015,Racing,0.03,0.13,0.03,0.03,0.22
XOne,2014,RPG,0.1,0.1,0,0.02,0.22
PSV,2013,Adventure,0.07,0.09,0,0.05,0.21
PS3,2014,Racing,0.05,0.11,0.01,0.04,0.21
WiiU,2013,Simulation,0.15,0.04,0,0.02,0.21
PS3,2013,RPG,0.09,0,0.1,0.01,0.21
PSV,2014,Platform,0.03,0.12,0,0.05,0.21
PC,2013,Shooter,0.14,0.04,0,0.02,0.21
PS4,2014,Adventure,0.1,0.07,0,0.03,0.21
XOne,2014,Sports,0.17,0.02,0,0.02,0.2
PS3,2013,RPG,0.05,0.05,0.09,0.02,0.2
PS3,2014,RPG,0.06,0.05,0.08,0.02,0.2
XOne,2015,Strategy,0.14,0.05,0,0.02,0.2
PC,2016,Strategy,0.09,0.1,0,0.02,0.2
PS4,2016,Sports,0.13,0.04,0,0.04,0.2
PS4,2013,Strategy,0.1,0.08,0,0.03,0.2
WiiU,2013,Fighting,0.1,0.08,0,0.02,0.2
PS4,2015,Sports,0.09,0.08,0,0.03,0.2
PS3,2013,RPG,0.06,0.02,0.1,0.01,0.2
PS3,2013,Sports,0,0,0.2,0,0.2
PS4,2016,Shooter,0.05,0.11,0.01,0.03,0.2
X360,2014,Adventure,0.05,0.13,0,0.02,0.2
PSP,2013,Sports,0,0,0.2,0,0.2
PC,2014,RPG,0.07,0.1,0,0.02,0.2
3DS,2016,Platform,0.13,0,0.05,0.02,0.2
PSV,2013,RPG,0.06,0.03,0.08,0.02,0.2
PS4,2015,Shooter,0.04,0.12,0,0.03,0.2
PS4,2014,RPG,0.07,0.08,0,0.04,0.19
PC,2015,Simulation,0.05,0.13,0,0.01,0.19
PSV,2013,RPG,0.13,0,0.04,0.02,0.19
3DS,2016,Simulation,0,0,0.19,0,0.19
XOne,2013,Sports,0.16,0.02,0,0.01,0.19
XOne,2015,Simulation,0.1,0.07,0,0.02,0.19
PSV,2014,RPG,0.08,0.02,0.06,0.03,0.19
XOne,2013,Fighting,0.11,0.07,0,0.02,0.19
PSV,2013,RPG,0.04,0.01,0.12,0.01,0.19
PSV,2014,RPG,0,0,0.19,0,0.19
PS3,2013,Strategy,0,0,0.19,0,0.19
PSV,2014,RPG,0,0,0.19,0,0.19
PS4,2014,Racing,0.04,0.11,0,0.04,0.18
PSV,2013,Adventure,0.14,0,0.01,0.03,0.18
PC,2015,Shooter,0.07,0.1,0,0.01,0.18
PSV,2014,RPG,0.07,0.03,0.05,0.03,0.18
3DS,2013,RPG,0,0,0.18,0,0.18
PS3,2014,Fighting,0.09,0,0.07,0.02,0.18
PSV,2014,Fighting,0.08,0,0.07,0.03,0.18
PS4,2016,RPG,0.06,0.03,0.07,0.02,0.18
PSV,2013,RPG,0.09,0,0.07,0.02,0.18
PC,2013,Shooter,0.1,0.06,0,0.02,0.18
PC,2014,RPG,0.08,0.08,0,0.02,0.18
PC,2015,Sports,0.04,0.13,0,0.01,0.18
PC,2016,Shooter,0.06,0.1,0,0.01,0.18
PSV,2014,RPG,0.04,0.04,0.08,0.02,0.18
X360,2016,Sports,0.03,0.13,0,0.01,0.18
PSV,2016,Sports,0,0,0.17,0,0.17
PS4,2015,Adventure,0.1,0.04,0,0.03,0.17
3DS,2016,RPG,0.03,0,0.14,0,0.17
PSP,2013,Sports,0,0,0.17,0,0.17
PS4,2015,Sports,0.1,0.04,0,0.03,0.17
Wii,2013,Simulation,0.08,0.07,0,0.02,0.17
PS4,2015,Racing,0,0.12,0.03,0.02,0.17
PSV,2015,RPG,0,0,0.17,0,0.17
PS4,2016,Sports,0,0,0.17,0,0.17
PS4,2016,RPG,0.06,0.04,0.05,0.02,0.17
3DS,2014,RPG,0,0,0.17,0,0.17
XOne,2015,Shooter,0.08,0.07,0,0.01,0.17
X360,2015,Sports,0.15,0,0,0.02,0.17
PC,2014,RPG,0.08,0.07,0,0.02,0.17
3DS,2016,RPG,0,0,0.17,0,0.17
PS3,2014,Sports,0,0,0.17,0,0.17
3DS,2015,RPG,0.04,0.04,0.08,0.01,0.17
PSV,2013,RPG,0,0,0.16,0,0.16
PS3,2014,RPG,0.05,0.04,0.06,0.02,0.16
X360,2014,Sports,0.05,0.1,0,0.01,0.16
X360,2014,Racing,0.15,0,0,0.01,0.16
PC,2014,Racing,0,0.15,0,0.01,0.16
PS3,2013,Simulation,0,0.1,0.02,0.04,0.16
PS3,2014,Fighting,0.05,0,0.09,0.01,0.16
PSV,2013,Adventure,0.02,0.09,0,0.04,0.16
PS4,2016,Adventure,0,0,0.16,0,0.16
XOne,2013,Strategy,0.11,0.04,0,0.01,0.16
PS4,2014,Fighting,0.1,0,0.04,0.02,0.16
3DS,2015,RPG,0.03,0,0.12,0,0.16
XOne,2014,Adventure,0.08,0.06,0,0.01,0.16
PS4,2013,Platform,0.06,0.07,0,0.02,0.16
3DS,2014,Simulation,0.12,0.02,0,0.01,0.15
XOne,2016,Sports,0.13,0.01,0,0.02,0.15
PS3,2013,RPG,0.07,0.02,0.06,0.01,0.15
PSV,2013,RPG,0.08,0,0.04,0.02,0.15
X360,2013,Shooter,0.06,0.04,0.05,0.01,0.15
PS4,2015,Fighting,0,0.09,0.04,0.02,0.15
PSV,2014,RPG,0.02,0,0.13,0.01,0.15
PSV,2014,RPG,0,0,0.15,0,0.15
3DS,2015,Simulation,0.04,0,0.1,0.01,0.15
XOne,2016,Platform,0.08,0.05,0,0.02,0.15
PSV,2015,RPG,0,0,0.15,0,0.15
PSV,2016,RPG,0.02,0.03,0.08,0.02,0.15
PS3,2013,Sports,0.14,0,0,0.01,0.15
PSV,2014,Adventure,0.1,0,0.01,0.03,0.15
PSV,2014,Adventure,0.09,0,0.03,0.03,0.15
XOne,2016,RPG,0.08,0.06,0,0.01,0.15
PC,2014,Shooter,0,0.13,0,0.01,0.15
PSP,2013,RPG,0,0,0.15,0,0.15
3DS,2014,Sports,0,0,0.14,0,0.14
PSV,2014,RPG,0.07,0.03,0.02,0.03,0.14
PSV,2013,Fighting,0.11,0.01,0,0.02,0.14
PS3,2014,Sports,0,0,0.14,0,0.14
XOne,2014,Adventure,0.08,0.05,0,0.01,0.14
PS3,2014,Fighting,0,0.01,0.13,0,0.14
PC,2015,Simulation,0,0.13,0,0.01,0.14
3DS,2015,Sports,0,0,0.14,0,0.14
PSV,2013,Sports,0,0.1,0,0.04,0.14
PSV,2014,Sports,0.11,0,0,0.02,0.14
PS3,2014,RPG,0,0,0.14,0,0.14
PC,2015,Shooter,0,0.13,0,0.01,0.14
XOne,2014,Sports,0.02,0.1,0,0.01,0.14
3DS,2015,Platform,0.07,0.04,0.01,0.01,0.13
PS3,2015,Sports,0.02,0.09,0,0.02,0.13
3DS,2014,Adventure,0.08,0.04,0,0.01,0.13
PS3,2014,Adventure,0.03,0.08,0,0.02,0.13
X360,2013,Platform,0.03,0.09,0,0.01,0.13
PS3,2014,Fighting,0.06,0.02,0.04,0.02,0.13
PSV,2013,Sports,0.11,0,0,0.02,0.13
PS4,2015,Adventure,0.03,0.08,0,0.02,0.13
X360,2013,Shooter,0.08,0.04,0,0.01,0.13
X360,2015,Sports,0.04,0.08,0,0.01,0.13
PS3,2013,Sports,0,0,0.13,0,0.13
PSP,2013,RPG,0,0,0.13,0,0.13
3DS,2013,Strategy,0,0,0.13,0,0.13
3DS,2014,Adventure,0,0,0.13,0,0.13
PSV,2014,RPG,0.04,0.01,0.06,0.02,0.13
XOne,2016,Shooter,0.08,0.04,0,0.01,0.13
XOne,2016,Shooter,0.05,0.07,0,0.01,0.12
XOne,2016,Sports,0.03,0.09,0,0.01,0.12
PSV,2013,Strategy,0.05,0.04,0,0.03,0.12
PSV,2014,Fighting,0,0.04,0.06,0.02,0.12
PS3,2013,Shooter,0.06,0.04,0,0.02,0.12
PS3,2014,Racing,0.04,0.06,0,0.02,0.12
PS3,2015,Sports,0.02,0.09,0,0.02,0.12
X360,2013,Shooter,0.07,0.04,0.01,0.01,0.12
3DS,2015,RPG,0,0.03,0.09,0,0.12
PS3,2014,RPG,0.01,0,0.11,0,0.12
3DS,2013,RPG,0.09,0,0.03,0.01,0.12
PS3,2014,RPG,0.03,0.05,0.02,0.02,0.12
WiiU,2013,Shooter,0.06,0.05,0,0.01,0.12
PC,2013,Shooter,0,0.1,0,0.02,0.12
X360,2014,Adventure,0.04,0.07,0,0.01,0.12
3DS,2014,Fighting,0,0,0.12,0,0.12
PC,2014,Simulation,0.02,0.08,0,0.01,0.12
PS3,2016,RPG,0,0,0.12,0,0.12
3DS,2016,RPG,0,0,0.12,0,0.12
PSV,2014,Sports,0,0,0.12,0,0.12
PS4,2015,Sports,0.01,0.09,0,0.02,0.12
PS3,2016,Adventure,0,0,0.12,0,0.12
WiiU,2013,Shooter,0.08,0.03,0,0.01,0.12
PSV,2014,RPG,0.02,0.02,0.06,0.01,0.12
PSV,2014,RPG,0.06,0.01,0.02,0.02,0.12
PS3,2013,Simulation,0,0,0.12,0,0.12
PS4,2015,RPG,0,0.1,0,0.02,0.12
XOne,2015,Sports,0.08,0.02,0,0.01,0.11
XOne,2016,Racing,0.03,0.08,0,0.01,0.11
PS3,2016,Sports,0,0.08,0.02,0.01,0.11
XOne,2016,Adventure,0.08,0.02,0,0.01,0.11
3DS,2014,Puzzle,0,0,0.11,0,0.11
X360,2014,Adventure,0.05,0.05,0,0.01,0.11
PSV,2013,RPG,0.04,0.02,0.04,0.02,0.11
PS3,2016,Sports,0,0,0.11,0,0.11
PC,2015,Racing,0,0.1,0,0.01,0.11
PS3,2013,Platform,0.02,0.07,0,0.02,0.11
PS3,2014,Adventure,0.05,0.04,0,0.02,0.11
PS3,2016,RPG,0,0,0.11,0,0.11
PSV,2016,Fighting,0,0.03,0.07,0.01,0.11
PSP,2013,RPG,0,0,0.11,0,0.11
PS4,2016,RPG,0,0.09,0,0.02,0.11
PS4,2015,Sports,0.03,0.06,0,0.02,0.11
3DS,2015,Puzzle,0,0,0.11,0,0.11
WiiU,2013,Strategy,0.06,0.04,0,0.01,0.11
WiiU,2013,Puzzle,0.1,0,0,0.01,0.11
3DS,2014,RPG,0,0,0.11,0,0.11
PSV,2014,Fighting,0.06,0,0.03,0.02,0.11
WiiU,2015,Platform,0.06,0.04,0,0.01,0.11
PSV,2014,RPG,0,0.07,0.02,0.02,0.11
Wii,2013,Platform,0,0.09,0,0.01,0.1
PS3,2014,Adventure,0.05,0.03,0,0.02,0.1
PS3,2013,Shooter,0,0,0.1,0,0.1
3DS,2014,RPG,0,0,0.1,0,0.1
3DS,2013,RPG,0,0,0.1,0,0.1
PS3,2014,RPG,0.02,0.06,0,0.02,0.1
XOne,2015,Shooter,0.04,0.05,0,0.01,0.1
PS4,2015,RPG,0,0.01,0.09,0,0.1
XOne,2015,Sports,0.03,0.06,0,0.01,0.1
PSP,2013,RPG,0,0,0.1,0,0.1
X360,2014,Racing,0.03,0.06,0,0.01,0.1
PS4,2015,RPG,0.07,0,0.01,0.02,0.1
PC,2016,Strategy,0,0.1,0,0.01,0.1
XOne,2015,Sports,0.08,0.01,0,0.01,0.1
PS3,2014,Fighting,0.06,0.03,0,0.02,0.1
PS4,2015,RPG,0.01,0.02,0.06,0.01,0.1
PS3,2014,Racing,0.09,0,0,0.01,0.1
PS3,2015,RPG,0,0,0.1,0,0.1
PC,2014,Racing,0,0.09,0,0.01,0.1
PSV,2014,Adventure,0,0,0.1,0,0.1
3DS,2013,Puzzle,0.09,0,0,0.01,0.1
XOne,2015,Racing,0.04,0.05,0,0.01,0.1
PS4,2015,Fighting,0,0.08,0,0.01,0.1
PC,2016,Adventure,0,0.09,0,0.01,0.1
PS3,2016,RPG,0,0,0.1,0,0.1
X360,2013,Simulation,0.02,0.07,0,0.01,0.1
PC,2015,RPG,0.02,0.06,0,0.01,0.1
PSV,2013,Sports,0,0,0.1,0,0.1
PSV,2013,Fighting,0,0.05,0.03,0.02,0.1
PS4,2014,RPG,0.05,0.02,0.02,0.01,0.1
3DS,2014,Sports,0,0,0.1,0,0.1
PC,2014,RPG,0,0.08,0,0.01,0.09
PS4,2016,Fighting,0.04,0.01,0.03,0.01,0.09
3DS,2013,Platform,0.05,0.04,0,0.01,0.09
3DS,2014,RPG,0.07,0.02,0,0.01,0.09
PC,2015,Sports,0.02,0.06,0,0.01,0.09
PS4,2016,Simulation,0,0,0.09,0,0.09
WiiU,2014,Adventure,0.04,0.05,0,0.01,0.09
3DS,2013,RPG,0,0.08,0,0.01,0.09
PSP,2013,Adventure,0,0,0.09,0,0.09
X360,2014,Racing,0.04,0.04,0,0.01,0.09
PSP,2014,Sports,0,0,0.09,0,0.09
XOne,2016,Racing,0.01,0.07,0,0.01,0.09
WiiU,2013,Platform,0.04,0.04,0,0.01,0.09
3DS,2013,RPG,0,0,0.09,0,0.09
X360,2015,Platform,0.08,0,0,0.01,0.09
PS3,2013,Platform,0.03,0.04,0,0.01,0.09
PC,2015,Strategy,0,0.08,0,0,0.09
XOne,2015,Sports,0.03,0.05,0,0.01,0.09
PSV,2016,RPG,0,0,0.09,0,0.09
PSV,2014,RPG,0.03,0.02,0.03,0.01,0.08
X360,2014,Racing,0.03,0.05,0,0.01,0.08
X360,2014,RPG,0.02,0.06,0,0.01,0.08
X360,2013,Platform,0.04,0.03,0,0.01,0.08
XOne,2015,Fighting,0.04,0.03,0.01,0.01,0.08
PC,2013,Shooter,0.02,0.05,0,0.01,0.08
3DS,2015,Adventure,0,0,0.08,0,0.08
PC,2013,Simulation,0,0.08,0,0.01,0.08
PS3,2015,Racing,0,0.06,0.01,0.01,0.08
3DS,2013,Fighting,0,0,0.08,0,0.08
3DS,2014,Adventure,0.03,0.05,0,0.01,0.08
PS4,2015,RPG,0.02,0.01,0.05,0.01,0.08
X360,2014,Fighting,0.06,0.01,0,0.01,0.08
PS3,2013,Adventure,0,0,0.08,0,0.08
X360,2014,Fighting,0.01,0.06,0,0.01,0.08
PS4,2016,Racing,0.02,0.05,0,0.01,0.08
PS3,2014,RPG,0.05,0.01,0,0.01,0.08
XOne,2014,Adventure,0.03,0.04,0,0.01,0.08
XOne,2016,Shooter,0.03,0.04,0,0.01,0.08
X360,2016,Sports,0.06,0.01,0,0.01,0.08
PS3,2014,Adventure,0.03,0.04,0,0.01,0.08
PSP,2013,RPG,0,0,0.08,0,0.08
PC,2015,Adventure,0.02,0.05,0,0.01,0.08
PS4,2014,Sports,0.05,0.02,0,0.01,0.08
3DS,2013,RPG,0,0,0.08,0,0.08
PS4,2015,RPG,0,0,0.08,0,0.08
PSV,2014,RPG,0,0,0.08,0,0.08
PS3,2016,Sports,0.05,0.01,0,0.01,0.08
PSV,2015,Sports,0,0.06,0,0.02,0.08
PS4,2015,Platform,0.03,0.03,0,0.01,0.08
PS4,2015,RPG,0,0,0.08,0,0.08
PS4,2016,Platform,0.06,0,0,0.01,0.07
3DS,2014,RPG,0,0,0.07,0,0.07
PSV,2015,RPG,0,0,0.07,0,0.07
3DS,2013,Adventure,0,0,0.07,0,0.07
3DS,2015,Fighting,0,0,0.07,0,0.07
PSV,2013,Adventure,0,0,0.07,0,0.07
PSV,2013,Sports,0,0,0.07,0,0.07
PS3,2013,Fighting,0,0.01,0.06,0,0.07
3DS,2014,RPG,0,0,0.07,0,0.07
X360,2014,Simulation,0.03,0.04,0,0.01,0.07
PC,2013,Adventure,0,0.06,0,0.01,0.07
PS3,2013,RPG,0.02,0.01,0.04,0.01,0.07
PSV,2015,Adventure,0,0,0.07,0,0.07
XOne,2014,Adventure,0.05,0.02,0,0.01,0.07
3DS,2013,Simulation,0.04,0.03,0,0.01,0.07
PS3,2015,Sports,0,0.06,0,0.01,0.07
PS4,2016,Fighting,0.02,0,0.05,0,0.07
PSV,2015,RPG,0.01,0.02,0.04,0.01,0.07
WiiU,2014,Adventure,0.05,0.02,0,0.01,0.07
3DS,2013,RPG,0,0,0.07,0,0.07
PSV,2014,Adventure,0.05,0,0,0.02,0.07
3DS,2014,Adventure,0,0,0.07,0,0.07
PS3,2015,Racing,0,0.03,0.03,0.01,0.07
PS3,2013,Strategy,0,0,0.07,0,0.07
PC,2016,Shooter,0.03,0.03,0,0.01,0.07
PS3,2016,Fighting,0.01,0.02,0.02,0.01,0.07
3DS,2014,Puzzle,0.06,0,0,0.01,0.07
PSV,2015,RPG,0,0,0.07,0,0.07
PS3,2014,Shooter,0.01,0.05,0,0.01,0.07
XOne,2015,RPG,0.04,0.02,0,0.01,0.07
PSV,2014,Sports,0,0,0.07,0,0.07
PC,2013,Racing,0,0.06,0,0.01,0.07
PS4,2015,Strategy,0,0.05,0.01,0.01,0.07
PS4,2016,Shooter,0.05,0,0,0.01,0.07
X360,2015,Sports,0.06,0,0,0.01,0.07
3DS,2014,RPG,0.05,0.01,0,0.01,0.07
PS4,2015,Adventure,0,0.06,0,0.01,0.07
PSV,2014,RPG,0,0,0.07,0,0.07
PS4,2015,RPG,0.02,0,0.05,0,0.07
PS3,2013,RPG,0,0,0.06,0,0.07
3DS,2014,Strategy,0,0,0.07,0,0.07
PC,2014,Sports,0,0.06,0,0.01,0.07
3DS,2014,Adventure,0,0,0.07,0,0.07
PSV,2013,RPG,0,0,0.06,0,0.06
PSV,2013,Strategy,0,0,0.06,0,0.06
PS4,2015,Adventure,0,0.06,0,0.01,0.06
PSV,2015,Sports,0,0.05,0,0.01,0.06
XOne,2013,Fighting,0.03,0.03,0,0.01,0.06
PS3,2013,Adventure,0,0,0.06,0,0.06
X360,2014,Adventure,0.03,0.03,0,0.01,0.06
PSV,2013,Sports,0,0,0.06,0,0.06
3DS,2015,Puzzle,0,0,0.06,0,0.06
PS4,2016,Racing,0.01,0.05,0,0.01,0.06
3DS,2014,Simulation,0,0,0.06,0,0.06
3DS,2013,Shooter,0,0.06,0,0,0.06
PS3,2016,Sports,0,0.01,0.04,0,0.06
3DS,2014,Adventure,0,0,0.06,0,0.06
3DS,2016,Adventure,0.04,0,0.01,0.01,0.06
PS4,2015,RPG,0,0.05,0,0.01,0.06
PSV,2016,Adventure,0.03,0,0.02,0.01,0.06
PS3,2014,Strategy,0,0,0.06,0,0.06
PS3,2016,RPG,0.01,0.02,0.03,0.01,0.06
PSV,2014,RPG,0,0,0.06,0,0.06
PS4,2016,Shooter,0.01,0.04,0,0.01,0.06
X360,2014,Fighting,0.04,0.01,0,0.01,0.06
3DS,2013,RPG,0,0,0.06,0,0.06
PSV,2015,RPG,0,0,0.06,0,0.06
PSV,2015,RPG,0,0,0.06,0,0.06
X360,2014,RPG,0.03,0.03,0,0.01,0.06
3DS,2013,RPG,0,0,0.06,0,0.06
PSV,2014,Fighting,0.03,0,0.02,0.01,0.06
3DS,2014,RPG,0,0,0.06,0,0.06
PSV,2014,Adventure,0,0,0.06,0,0.06
3DS,2014,RPG,0,0,0.06,0,0.06
PS3,2015,Adventure,0.02,0.03,0,0.01,0.06
PS4,2016,RPG,0,0,0.06,0,0.06
PSV,2015,Adventure,0,0,0.06,0,0.06
PS4,2015,Adventure,0,0,0.06,0,0.06
X360,2013,Racing,0.04,0.01,0,0,0.06
PSV,2014,RPG,0,0,0.06,0,0.06
PS4,2015,Sports,0,0.05,0,0.01,0.06
PSV,2013,Adventure,0.01,0.04,0,0.01,0.06
PS3,2014,RPG,0.03,0,0.02,0.01,0.06
PS4,2015,Sports,0,0.05,0,0.01,0.06
PS3,2015,Sports,0.04,0,0,0.01,0.06
PS4,2015,Sports,0,0.05,0,0.01,0.06
PS4,2015,RPG,0.02,0,0.03,0,0.06
PS4,2014,Strategy,0,0,0.06,0,0.06
PSP,2013,Adventure,0,0,0.05,0,0.05
X360,2016,Sports,0.04,0,0,0.01,0.05
3DS,2015,Adventure,0.05,0,0,0.01,0.05
PC,2016,RPG,0,0.05,0,0,0.05
X360,2015,Sports,0,0.05,0,0,0.05
PSV,2014,Strategy,0,0,0.05,0,0.05
PSV,2015,Adventure,0,0,0.05,0,0.05
PC,2016,Sports,0,0.05,0,0,0.05
PS3,2014,Racing,0,0,0.05,0,0.05
PS4,2015,RPG,0.04,0,0,0.01,0.05
PC,2013,Shooter,0,0.05,0,0.01,0.05
3DS,2016,Strategy,0,0,0.05,0,0.05
PSV,2015,RPG,0,0,0.05,0,0.05
PS4,2016,Sports,0,0,0.05,0,0.05
PS3,2014,RPG,0.03,0.01,0.01,0.01,0.05
PSV,2015,RPG,0.02,0.02,0,0.01,0.05
PS4,2015,Sports,0,0.04,0,0.01,0.05
PS4,2015,Shooter,0.02,0.02,0,0.01,0.05
PSV,2015,Platform,0.03,0.01,0,0.01,0.05
PSV,2016,RPG,0,0,0.05,0,0.05
PC,2015,Fighting,0.01,0.04,0,0,0.05
PS4,2016,Racing,0,0.04,0,0.01,0.05
PC,2016,Fighting,0,0.05,0,0,0.05
X360,2014,Shooter,0.02,0.03,0,0,0.05
PC,2014,Adventure,0,0.05,0,0,0.05
PS4,2014,RPG,0,0.01,0.04,0,0.05
PSV,2015,Adventure,0,0,0.05,0,0.05
PSV,2016,RPG,0,0,0.05,0,0.05
PSV,2015,Adventure,0,0,0.05,0,0.05
PSV,2014,RPG,0,0,0.05,0,0.05
PS4,2016,RPG,0.01,0.03,0,0.01,0.05
PC,2016,Platform,0.01,0.03,0,0.01,0.05
WiiU,2013,Platform,0.04,0.01,0,0,0.05
PS4,2015,Adventure,0,0,0.05,0,0.05
PS3,2013,Sports,0,0,0.05,0,0.05
PSV,2013,RPG,0,0,0.05,0,0.05
3DS,2013,RPG,0,0,0.05,0,0.05
PS4,2016,Sports,0,0.04,0,0.01,0.05
XOne,2016,Racing,0.02,0.02,0,0,0.05
PS3,2016,Sports,0.03,0.01,0,0.01,0.05
PSV,2013,Platform,0.02,0.02,0,0.01,0.05
PS4,2015,RPG,0,0,0.05,0,0.05
3DS,2013,Adventure,0,0,0.05,0,0.05
XOne,2015,RPG,0.04,0.01,0,0,0.05
PC,2013,Shooter,0.04,0,0,0,0.05
PC,2015,Strategy,0,0.04,0,0,0.05
PS3,2015,Sports,0,0.04,0,0.01,0.05
PS3,2013,Adventure,0,0,0.05,0,0.05
PS3,2015,Adventure,0,0,0.05,0,0.05
PC,2015,Racing,0,0.04,0,0,0.05
PS4,2015,Adventure,0.04,0,0,0.01,0.05
PSV,2014,Adventure,0,0,0.05,0,0.05
PSV,2014,Puzzle,0,0,0.05,0,0.05
PS3,2013,Racing,0.02,0.02,0,0.01,0.05
PSV,2013,Adventure,0.03,0,0.01,0.01,0.05
X360,2015,Sports,0,0.04,0,0,0.05
PSV,2015,Racing,0,0,0.05,0,0.05
3DS,2014,RPG,0,0,0.05,0,0.05
PSV,2014,RPG,0,0,0.05,0,0.05
X360,2013,Shooter,0.04,0,0,0,0.05
PS3,2015,RPG,0,0,0.05,0,0.05
PS4,2016,Platform,0.04,0,0,0.01,0.05
PC,2016,Shooter,0,0.04,0,0,0.05
PSV,2014,Adventure,0,0,0.05,0,0.05
WiiU,2013,Shooter,0,0.04,0,0,0.05
PSV,2015,RPG,0,0,0.04,0,0.04
PSV,2015,RPG,0,0,0.04,0,0.04
PS3,2016,Sports,0,0.04,0,0.01,0.04
3DS,2013,Simulation,0,0,0.04,0,0.04
PS4,2016,Racing,0,0.04,0,0.01,0.04
PS3,2014,Puzzle,0,0,0.04,0,0.04
XOne,2016,Sports,0.04,0,0,0,0.04
PS3,2013,Shooter,0.02,0.02,0,0.01,0.04
PC,2016,Adventure,0.01,0.03,0,0,0.04
PC,2015,Sports,0,0.04,0,0,0.04
PS3,2013,Simulation,0,0,0.04,0,0.04
PS3,2013,Fighting,0,0,0.04,0,0.04
PSV,2014,Adventure,0,0,0.04,0,0.04
PS3,2015,Fighting,0,0,0.04,0,0.04
PS4,2015,Fighting,0.01,0,0.02,0,0.04
PC,2013,Shooter,0,0.03,0,0.01,0.04
PS4,2016,Strategy,0.01,0.02,0,0.01,0.04
PSP,2013,Sports,0,0,0.04,0,0.04
XOne,2016,Fighting,0.03,0.01,0,0,0.04
3DS,2014,Adventure,0,0,0.04,0,0.04
PS4,2014,Strategy,0.03,0,0,0.01,0.04
PS3,2016,RPG,0,0,0.04,0,0.04
PS3,2013,Adventure,0,0,0.04,0,0.04
PC,2015,Simulation,0,0.04,0,0,0.04
3DS,2016,Adventure,0,0,0.04,0,0.04
PS4,2015,RPG,0,0,0.04,0,0.04
XOne,2015,Adventure,0.03,0.01,0,0,0.04
PSV,2015,RPG,0,0,0.04,0,0.04
3DS,2015,Puzzle,0,0.04,0,0,0.04
PS4,2016,Sports,0,0.03,0,0.01,0.04
PC,2015,Strategy,0,0.04,0,0,0.04
XOne,2015,Sports,0,0.04,0,0,0.04
PS3,2014,Adventure,0,0,0.04,0,0.04
PC,2015,Simulation,0,0.04,0,0,0.04
3DS,2015,Adventure,0,0,0.04,0,0.04
XOne,2016,Shooter,0.03,0,0,0,0.04
PSV,2014,RPG,0,0,0.04,0,0.04
PS3,2014,RPG,0.03,0.01,0,0.01,0.04
PSV,2014,Racing,0,0,0.04,0,0.04
PSV,2015,Sports,0,0.03,0,0.01,0.04
PSP,2013,Adventure,0,0,0.04,0,0.04
PSV,2014,RPG,0,0,0.04,0,0.04
PC,2013,Adventure,0,0.03,0,0,0.04
PS3,2015,Sports,0,0.03,0,0.01,0.04
XOne,2016,Shooter,0.01,0.02,0,0,0.04
3DS,2016,Adventure,0,0,0.04,0,0.04
PSV,2015,RPG,0,0,0.04,0,0.04
3DS,2015,Strategy,0,0,0.04,0,0.04
PSV,2015,Sports,0.03,0,0,0.01,0.04
PS4,2016,Adventure,0.01,0.02,0,0.01,0.04
PC,2014,RPG,0,0.03,0,0,0.04
DS,2013,Sports,0,0.03,0,0,0.03
PS3,2013,Adventure,0.02,0,0.01,0,0.03
3DS,2014,Simulation,0,0,0.03,0,0.03
PS4,2016,Shooter,0.03,0,0,0.01,0.03
PS4,2014,Sports,0,0.03,0,0,0.03
PSV,2015,RPG,0,0,0.03,0,0.03
3DS,2015,Platform,0.03,0,0,0,0.03
PSV,2015,RPG,0,0,0.03,0,0.03
PS3,2014,Racing,0.02,0.01,0,0.01,0.03
3DS,2013,Strategy,0,0,0.03,0,0.03
X360,2015,Adventure,0.02,0.01,0,0,0.03
PSV,2016,Sports,0,0,0.03,0,0.03
PSP,2013,Adventure,0,0,0.03,0,0.03
3DS,2013,Platform,0,0,0.03,0,0.03
PS4,2015,Fighting,0,0,0.03,0,0.03
PS4,2016,Racing,0.03,0,0,0.01,0.03
PC,2014,Racing,0,0.03,0,0,0.03
3DS,2013,Simulation,0,0,0.03,0,0.03
3DS,2014,RPG,0,0,0.03,0,0.03
PS3,2014,RPG,0,0,0.03,0,0.03
3DS,2013,Simulation,0,0,0.03,0,0.03
PSV,2013,Strategy,0,0,0.03,0,0.03
3DS,2015,RPG,0,0,0.03,0,0.03
3DS,2016,Platform,0.03,0,0,0,0.03
PSV,2016,Fighting,0,0,0.03,0,0.03
PC,2013,Adventure,0,0.03,0,0,0.03
PS3,2015,RPG,0,0,0.03,0,0.03
PSV,2013,RPG,0,0,0.03,0,0.03
PS3,2015,RPG,0,0,0.03,0,0.03
PSV,2013,RPG,0,0,0.03,0,0.03
DS,2013,Adventure,0,0.03,0,0,0.03
PSP,2013,Adventure,0,0,0.03,0,0.03
PSP,2013,Adventure,0,0,0.03,0,0.03
PS3,2015,Fighting,0,0,0.03,0,0.03
PS3,2014,Sports,0,0,0.03,0,0.03
3DS,2015,RPG,0,0,0.03,0,0.03
PC,2016,Strategy,0,0.03,0,0,0.03
PS4,2017,RPG,0,0,0.03,0,0.03
PSV,2014,Adventure,0,0,0.03,0,0.03
PSV,2015,Platform,0,0,0.03,0,0.03
PS3,2014,RPG,0,0,0.03,0,0.03
